combinationID,figure1,figure2,figure3,figure4,figure5,figure6,figure7,figure8,choice1,choice2,choice3,choice4,maskedImgIdx,seq_order,choice_order,pattern
47380407,30,35,30,35,27,10,27,10,35,30,10,27,7,41365027,1032,ABABCDCD
43992408,5,18,5,18,35,9,35,9,18,5,35,9,4,16072534,2013,ABABCDCD
52368308,18,35,18,35,5,59,5,59,18,59,35,5,0,65724310,0231,ABABCDCD
47095770,10,28,10,28,18,52,18,52,28,10,18,52,0,41563720,3210,ABABCDCD
62217689,34,20,34,18,34,20,34,18,18,20,34,30,4,15267304,1032,ABACABAC
47513343,20,18,20,52,20,18,20,52,20,18,27,52,0,23467510,2301,ABACABAC
59937493,27,5,27,28,27,5,27,28,28,27,5,35,0,42613750,1032,ABACABAC
43018611,5,52,5,35,5,52,5,35,35,5,52,27,7,46503217,1032,ABACABAC
52629386,20,52,20,59,20,52,20,59,20,59,52,34,3,16072453,3210,ABACABAC
48107888,9,28,9,27,9,28,9,27,27,28,59,9,7,25143607,2031,ABACABAC
50023761,35,20,20,35,35,20,20,35,34,35,20,5,4,53162074,3102,ABBAABBA
54164395,27,30,30,27,27,30,30,27,27,59,35,30,4,76120534,2013,ABBAABBA
62157753,9,27,27,9,9,27,27,9,20,18,27,9,7,36045217,0132,ABBAABBA
50002031,18,59,59,18,18,59,59,18,59,18,20,28,0,72451630,1023,ABBAABBA
57325873,30,59,59,30,30,59,59,30,59,18,30,28,0,54376120,0321,ABBAABBA
45099445,30,34,34,30,30,34,34,30,30,28,34,5,4,31760254,1230,ABBAABBA
45491008,5,52,52,5,9,20,20,9,52,5,9,20,4,27035164,1230,ABBACDDC
43200236,9,30,30,9,35,34,34,35,30,34,35,9,7,64150237,2103,ABBACDDC
61900296,28,20,20,28,59,18,18,59,59,20,18,28,4,02735164,1032,ABBACDDC
44221522,52,27,27,52,20,9,9,20,52,9,27,20,0,71425360,0231,ABBACDDC
57659769,20,27,27,20,35,52,52,35,52,20,35,27,4,70152634,2013,ABBACDDC
49990190,10,27,27,10,20,52,52,20,52,27,20,10,7,41350267,1032,ABBACDDC
52919528,52,18,18,18,52,18,18,18,20,28,52,18,7,35204617,0321,ABBBABBB
44003483,28,5,5,5,28,5,5,5,28,34,5,35,3,06217453,0231,ABBBABBB
58225216,52,59,59,59,52,59,59,59,30,52,10,59,3,20746513,3201,ABBBABBB
56153540,20,28,28,28,20,28,28,28,35,59,28,20,4,15067234,3021,ABBBABBB
45016635,34,52,52,52,34,52,52,52,59,30,34,52,7,15463207,3120,ABBBABBB
47059977,35,18,18,18,35,18,18,18,18,52,9,35,3,02467153,2310,ABBBABBB
44598225,52,28,28,10,52,28,28,10,35,10,52,28,0,61547230,0123,ABBCABBC
56636414,5,27,27,30,5,27,27,30,5,30,27,10,0,51726430,1203,ABBCABBC
51487513,9,18,18,27,9,18,18,27,27,18,10,9,7,06514327,2310,ABBCABBC
49424161,20,27,27,9,20,27,27,9,34,9,27,20,7,54612307,3102,ABBCABBC
45565067,34,59,59,18,34,59,59,18,27,34,18,59,0,12346570,0312,ABBCABBC
50159898,10,30,30,20,10,30,30,20,30,20,18,10,3,71645023,3102,ABBCABBC
48925011,34,20,10,34,34,20,10,34,52,20,34,10,7,21065347,2301,ABCAABCA
59023062,28,10,20,28,28,10,20,28,20,28,5,10,4,32150764,1320,ABCAABCA
51737760,34,10,18,34,34,10,18,34,18,10,34,59,4,62537104,1203,ABCAABCA
53846560,9,35,59,9,9,35,59,9,9,5,35,59,7,20645317,3021,ABCAABCA
49165378,9,28,59,9,9,28,59,9,5,28,9,59,0,71264530,3012,ABCAABCA
45761162,9,28,34,9,9,28,34,9,28,35,34,9,3,47062513,2301,ABCAABCA
47090192,52,59,30,30,52,59,30,30,28,59,30,52,3,71206543,1203,ABCCABCC
57113458,10,9,52,52,10,9,52,52,30,10,9,52,4,05236714,3021,ABCCABCC
55848980,52,59,18,18,52,59,18,18,59,20,18,52,7,45216037,0123,ABCCABCC
53389686,52,27,30,30,52,27,30,30,30,52,35,27,4,35160274,2310,ABCCABCC
42333729,27,18,34,34,27,18,34,34,18,30,34,27,0,32147560,0231,ABCCABCC
52190466,28,59,27,27,28,59,27,27,28,27,35,59,0,73421650,1032,ABCCABCC
58514347,34,9,10,10,9,34,34,9,34,10,18,9,4,50726314,0312,ABCCBAAB
61642760,9,20,28,28,20,9,9,20,10,9,28,20,4,20165374,2013,ABCCBAAB
49153274,28,27,20,20,27,28,28,27,27,28,20,9,0,53214670,2301,ABCCBAAB
47072715,27,5,10,10,5,27,27,5,27,10,20,5,0,16752340,2103,ABCCBAAB
46992214,35,30,9,9,30,35,35,30,9,10,30,35,4,61273054,1302,ABCCBAAB
61859444,28,10,9,9,10,28,28,10,28,9,18,10,7,52631407,3120,ABCCBAAB
53736792,35,52,18,27,35,52,18,27,52,27,35,18,0,54271630,2130,ABCDABCD
60738523,10,28,59,34,10,28,59,34,10,59,28,34,7,43051267,1302,ABCDABCD
51719982,34,27,52,20,34,27,52,20,20,52,34,27,0,42765130,1032,ABCDABCD
53359025,28,52,5,30,28,52,5,30,52,5,30,28,3,04165273,3021,ABCDABCD
55195755,27,5,20,28,27,5,20,28,20,5,27,28,7,45603217,2031,ABCDABCD
46115069,28,59,9,5,28,59,9,5,59,9,28,5,4,36017524,0231,ABCDABCD
55155741,34,30,18,20,20,18,30,34,18,20,34,30,3,65720413,3021,ABCDDCBA
43036540,5,27,34,30,30,34,27,5,30,27,34,5,3,26415703,1203,ABCDDCBA
50688058,35,18,30,9,9,30,18,35,18,30,9,35,0,42631570,1023,ABCDDCBA
53925239,59,52,28,18,18,28,52,59,52,18,59,28,7,10654237,2103,ABCDDCBA
51579926,10,27,34,59,59,34,27,10,10,59,27,34,3,74156203,3210,ABCDDCBA
53647209,35,52,30,34,34,30,52,35,34,52,35,30,0,41756320,3012,ABCDDCBA
47105172,28,5,30,18,10,28,5,30,5,30,10,28,4,25760314,0321,ABCDEABC
48667636,52,34,27,30,9,52,34,27,34,9,30,27,7,30521647,2103,ABCDEABC
53017072,28,9,30,35,10,28,9,30,9,35,28,10,4,51267034,3201,ABCDEABC
57240405,30,35,52,34,27,30,35,52,35,52,27,30,7,31045267,0321,ABCDEABC
53155437,18,9,28,5,30,18,9,28,28,18,30,9,4,67201534,0231,ABCDEABC
43957274,9,30,18,59,5,9,30,18,30,9,18,5,7,26104357,1032,ABCDEABC
43582204,9,52,59,10,20,20,10,59,20,59,9,52,7,06534217,3012,ABCDEEDC
57817840,18,34,5,35,9,9,35,5,34,18,9,35,4,52067314,1023,ABCDEEDC
51189517,59,9,52,5,34,34,5,52,34,5,52,9,7,50623417,1320,ABCDEEDC
46612996,5,52,27,18,30,30,18,27,30,5,18,52,4,06753214,0231,ABCDEEDC
53853831,28,18,35,20,30,30,20,35,18,35,28,30,4,31765024,2310,ABCDEEDC
57241175,35,9,27,18,59,59,18,27,59,9,27,35,7,06215347,0213,ABCDEEDC
57529037,59,18,52,10,35,27,59,18,27,52,35,10,4,72361054,2013,ABCDEFAB
59522196,10,18,20,9,59,27,10,18,59,18,9,10,0,43567120,0321,ABCDEFAB
53472415,52,28,59,30,9,18,52,28,9,52,28,30,4,72603154,0312,ABCDEFAB
45421198,34,35,52,20,18,10,34,35,34,35,52,10,7,10364527,0312,ABCDEFAB
45514544,35,18,59,30,28,9,35,18,59,28,18,30,3,42761053,3210,ABCDEFAB
53822759,30,10,28,59,35,27,30,10,59,10,30,35,3,76502143,1302,ABCDEFAB
56388039,18,5,34,9,30,20,28,59,18,34,9,20,0,16732540,0312,ABCDEFGH
44755892,5,27,59,35,52,9,20,18,35,9,52,20,3,17205643,3012,ABCDEFGH
48579173,30,9,27,52,35,18,59,5,18,30,35,9,4,56730124,1032,ABCDEFGH
58950651,9,20,52,28,18,27,59,10,52,9,27,28,0,71354260,2310,ABCDEFGH
48787757,28,20,59,30,18,34,27,10,10,30,27,28,7,53612407,1203,ABCDEFGH
51483812,10,59,35,5,30,34,18,9,59,10,35,9,0,63541720,2013,ABCDEFGH
