item_id,figure1,figure2,figure3,figure4,figure5,figure6,figure7,figure8,choice1,choice2,choice3,choice4,solution,masked_idx,seq_order,choice_order,pattern
639085,helicopter,cube,cube,helicopter,helicopter,cube,cube,helicopter,helicopter,star,heart,cube,helicopter,7,72416305,2031,ABBAABBA
526906,heart,cube,cube,heart,heart,cube,cube,heart,heart,helicopter,hammer,cube,heart,7,32706541,0321,ABBAABBA
578232,helicopter,sun,sun,helicopter,helicopter,sun,sun,helicopter,hammer,helicopter,sun,cube,helicopter,7,07624351,3021,ABBAABBA
127754,carrot,helicopter,helicopter,carrot,key,wheat,key,wheat,carrot,key,wheat,helicopter,wheat,7,62730154,0312,ABBACDCD
447702,truck,heart,heart,truck,key,pyramid,key,pyramid,pyramid,key,heart,truck,pyramid,7,47652103,2310,ABBACDCD
630037,helicopter,guitar,guitar,helicopter,bell,star,bell,star,star,guitar,bell,helicopter,star,7,21304756,3210,ABBACDCD
118881,star,wheat,wheat,star,bulb,carrot,bulb,carrot,carrot,wheat,bulb,star,carrot,7,61253407,2013,ABBACDCD
406039,key,star,star,key,cube,bell,cube,bell,star,key,cube,bell,bell,7,06723541,0132,ABBACDCD
642790,star,bulb,bulb,star,carrot,guitar,carrot,guitar,guitar,star,carrot,bulb,guitar,7,43207561,1032,ABBACDCD
458181,heart,guitar,guitar,heart,smile,cube,smile,cube,smile,cube,heart,guitar,cube,7,57103642,2130,ABBACDCD
83414,guitar,bulb,bulb,guitar,wheat,truck,wheat,truck,wheat,bulb,guitar,truck,truck,7,24503761,2301,ABBACDCD
54857,helicopter,heart,heart,helicopter,bell,smile,bell,smile,helicopter,smile,bell,heart,smile,7,37205416,1302,ABBACDCD
348642,smile,star,star,smile,wheat,key,wheat,key,wheat,smile,star,key,key,7,47513026,1302,ABBACDCD
68631,bulb,key,key,cube,bulb,key,key,cube,key,cube,helicopter,bulb,cube,7,41062537,3210,ABBCABBC
318120,pyramid,bell,bell,wheat,pyramid,bell,bell,wheat,bell,pyramid,truck,wheat,wheat,7,02753461,1230,ABBCABBC
286653,bell,hammer,hammer,wheat,bell,hammer,hammer,wheat,heart,hammer,wheat,bell,wheat,7,70235146,1320,ABBCABBC
458006,carrot,bulb,bulb,wheat,carrot,bulb,bulb,wheat,bulb,star,wheat,carrot,wheat,7,42653701,2130,ABBCABBC
62549,sun,helicopter,helicopter,pyramid,sun,helicopter,helicopter,pyramid,sun,heart,helicopter,pyramid,pyramid,7,65341702,2301,ABBCABBC
246734,helicopter,carrot,carrot,wheat,helicopter,carrot,carrot,wheat,wheat,truck,carrot,helicopter,wheat,7,64312750,1203,ABBCABBC
108375,star,hammer,hammer,wheat,star,hammer,hammer,wheat,wheat,hammer,star,smile,wheat,7,16537204,3102,ABBCABBC
636447,bell,pyramid,pyramid,key,bell,pyramid,pyramid,key,pyramid,cube,bell,key,key,7,10367452,2013,ABBCABBC
88048,helicopter,wheat,wheat,hammer,helicopter,wheat,wheat,hammer,wheat,hammer,bulb,helicopter,hammer,7,65072134,1032,ABBCABBC
268573,heart,hammer,hammer,pyramid,heart,hammer,hammer,pyramid,pyramid,hammer,heart,cube,pyramid,7,14765023,0321,ABBCABBC
42275,guitar,truck,eye,guitar,guitar,truck,eye,guitar,truck,wheat,eye,guitar,guitar,7,30157624,2301,ABCAABCA
547857,guitar,heart,helicopter,guitar,guitar,heart,helicopter,guitar,guitar,bulb,helicopter,heart,guitar,7,73026541,3102,ABCAABCA
154675,truck,pyramid,bell,truck,truck,pyramid,bell,truck,bell,pyramid,cube,truck,truck,7,20316457,3201,ABCAABCA
1896,star,hammer,key,star,star,hammer,key,star,hammer,star,key,smile,star,7,74601235,2013,ABCAABCA
143728,bulb,heart,carrot,bulb,bulb,heart,carrot,bulb,heart,carrot,pyramid,bulb,bulb,7,12374560,2301,ABCAABCA
359018,hammer,bulb,star,hammer,hammer,bulb,star,hammer,bulb,guitar,hammer,star,hammer,7,47215063,1230,ABCAABCA
438450,carrot,bell,eye,carrot,carrot,bell,eye,carrot,eye,bell,carrot,smile,carrot,7,52310476,3210,ABCAABCA
469779,cube,key,smile,cube,cube,key,smile,cube,guitar,cube,key,smile,cube,7,67053124,1032,ABCAABCA
404571,star,bell,carrot,star,star,bell,carrot,star,carrot,pyramid,star,bell,star,7,75460321,3012,ABCAABCA
377105,pyramid,guitar,wheat,pyramid,pyramid,guitar,wheat,pyramid,pyramid,star,wheat,guitar,pyramid,7,45301672,2130,ABCAABCA
194070,truck,bell,cube,heart,heart,cube,bell,truck,cube,bell,heart,truck,truck,7,67421503,1320,ABCDDCBA
517406,carrot,wheat,hammer,truck,truck,hammer,wheat,carrot,hammer,wheat,truck,carrot,carrot,7,70456231,3021,ABCDDCBA
659707,hammer,wheat,guitar,sun,sun,guitar,wheat,hammer,sun,wheat,hammer,guitar,hammer,7,74526031,2103,ABCDDCBA
484508,wheat,star,bell,eye,eye,bell,star,wheat,bell,star,eye,wheat,wheat,7,51047362,3201,ABCDDCBA
66938,heart,sun,carrot,cube,cube,carrot,sun,heart,cube,carrot,sun,heart,heart,7,67012435,1302,ABCDDCBA
142728,carrot,truck,guitar,sun,sun,guitar,truck,carrot,sun,carrot,guitar,truck,carrot,7,16253407,2013,ABCDDCBA
59148,truck,smile,bell,helicopter,helicopter,bell,smile,truck,truck,bell,smile,helicopter,truck,7,40316572,2310,ABCDDCBA
391780,carrot,truck,eye,sun,sun,eye,truck,carrot,eye,carrot,truck,sun,carrot,7,14376502,1320,ABCDDCBA
505670,hammer,key,sun,pyramid,pyramid,sun,key,hammer,sun,pyramid,hammer,key,hammer,7,65074123,3012,ABCDDCBA
157130,cube,pyramid,carrot,sun,sun,carrot,pyramid,cube,cube,sun,pyramid,carrot,cube,7,24307165,0213,ABCDDCBA
141829,key,bell,hammer,helicopter,cube,cube,helicopter,hammer,helicopter,hammer,bell,key,hammer,7,30541276,2031,ABCDEEDC
625653,eye,bell,truck,heart,key,key,heart,truck,truck,heart,eye,bell,truck,7,30762451,1230,ABCDEEDC
658063,truck,guitar,sun,bell,star,star,bell,sun,sun,star,truck,guitar,sun,7,60745321,1320,ABCDEEDC
492841,pyramid,helicopter,sun,bell,eye,eye,bell,sun,helicopter,sun,eye,pyramid,sun,7,02143576,2310,ABCDEEDC
98688,hammer,eye,star,wheat,key,key,wheat,star,hammer,wheat,star,key,star,7,06732145,1032,ABCDEEDC
596499,wheat,bell,bulb,truck,cube,cube,truck,bulb,bulb,truck,cube,wheat,bulb,7,60247351,0231,ABCDEEDC
81392,helicopter,carrot,cube,bulb,star,star,bulb,cube,cube,carrot,star,bulb,cube,7,76514302,2013,ABCDEEDC
383392,sun,key,carrot,pyramid,smile,smile,pyramid,carrot,carrot,smile,pyramid,key,carrot,7,30462157,0321,ABCDEEDC
433509,star,carrot,hammer,smile,bell,bell,smile,hammer,star,hammer,smile,carrot,hammer,7,27546013,3102,ABCDEEDC
537433,guitar,bulb,helicopter,sun,smile,smile,sun,helicopter,helicopter,guitar,bulb,sun,helicopter,7,30261574,0312,ABCDEEDC
