original_order,pattern,item_id
193,ABBACDDC,59333
355,ABBACDDC,76308
35,ABBACDDC,84588
271,ABBACDDC,98584
34,ABBACDDC,100475
190,ABBACDDC,100520
359,ABBACDDC,100759
273,ABBACDDC,104120
31,ABBACDDC,120597
352,ABBACDDC,123825
110,ABBACDDC,127644
358,ABBACDDC,128166
37,ABBACDDC,163092
114,ABBACDDC,182150
113,ABBACDDC,195296
192,ABBACDDC,214851
279,ABBACDDC,232433
270,ABBACDDC,236553
198,ABBACDDC,251645
195,ABBACDDC,254436
119,ABBACDDC,271380
274,ABBACDDC,273467
116,ABBACDDC,279079
194,ABBACDDC,280481
277,ABBACDDC,316437
272,ABBACDDC,324798
191,ABBACDDC,346037
115,ABBACDDC,386914
276,ABBACDDC,407088
356,ABBACDDC,418636
357,ABBACDDC,419907
197,ABBACDDC,428986
353,ABBACDDC,445291
39,ABBACDDC,453153
36,ABBACDDC,459574
278,ABBACDDC,478251
111,ABBACDDC,501773
112,ABBACDDC,524891
118,ABBACDDC,535681
351,ABBACDDC,557263
30,ABBACDDC,575122
196,ABBACDDC,593250
38,ABBACDDC,605684
275,ABBACDDC,613040
117,ABBACDDC,644976
281,ABBCABBC,3030
120,ABBCABBC,33646
203,ABBCABBC,39624
48,ABBCABBC,46638
360,ABBCABBC,70093
366,ABBCABBC,72163
42,ABBCABBC,77455
49,ABBCABBC,82120
46,ABBCABBC,85082
362,ABBCABBC,94780
364,ABBCABBC,99431
289,ABBCABBC,126859
363,ABBCABBC,128320
204,ABBCABBC,134455
369,ABBCABBC,145747
47,ABBCABBC,146846
44,ABBCABBC,200995
207,ABBCABBC,202108
209,ABBCABBC,202511
129,ABBCABBC,215370
284,ABBCABBC,260532
206,ABBCABBC,260557
205,ABBCABBC,274549
200,ABBCABBC,311434
123,ABBCABBC,325226
208,ABBCABBC,326552
40,ABBCABBC,363324
283,ABBCABBC,366039
202,ABBCABBC,368576
41,ABBCABBC,390761
128,ABBCABBC,395826
285,ABBCABBC,407006
126,ABBCABBC,408389
286,ABBCABBC,413306
124,ABBCABBC,415924
288,ABBCABBC,459304
287,ABBCABBC,461135
361,ABBCABBC,481658
280,ABBCABBC,484047
127,ABBCABBC,514773
43,ABBCABBC,514821
121,ABBCABBC,523134
201,ABBCABBC,530102
122,ABBCABBC,537022
365,ABBCABBC,569989
367,ABBCABBC,590721
368,ABBCABBC,603620
282,ABBCABBC,632246
125,ABBCABBC,634897
45,ABBCABBC,651002
58,ABCAABCA,16172
131,ABCAABCA,29544
213,ABCAABCA,75115
296,ABCAABCA,85864
375,ABCAABCA,109901
51,ABCAABCA,114793
297,ABCAABCA,132772
53,ABCAABCA,149919
293,ABCAABCA,167981
292,ABCAABCA,172403
214,ABCAABCA,186276
377,ABCAABCA,192701
212,ABCAABCA,252934
295,ABCAABCA,273607
376,ABCAABCA,296204
137,ABCAABCA,306941
135,ABCAABCA,311240
52,ABCAABCA,314343
290,ABCAABCA,331726
210,ABCAABCA,336657
211,ABCAABCA,340058
138,ABCAABCA,375244
370,ABCAABCA,395844
379,ABCAABCA,408515
139,ABCAABCA,410434
218,ABCAABCA,424895
57,ABCAABCA,446014
215,ABCAABCA,448113
132,ABCAABCA,454726
291,ABCAABCA,457338
373,ABCAABCA,470952
371,ABCAABCA,483407
374,ABCAABCA,498488
133,ABCAABCA,507934
298,ABCAABCA,526721
54,ABCAABCA,541912
55,ABCAABCA,550152
59,ABCAABCA,552007
299,ABCAABCA,562541
216,ABCAABCA,574141
134,ABCAABCA,589335
219,ABCAABCA,597323
294,ABCAABCA,597926
130,ABCAABCA,610075
378,ABCAABCA,611282
50,ABCAABCA,612709
217,ABCAABCA,627515
56,ABCAABCA,642740
372,ABCAABCA,646761
136,ABCAABCA,651394
68,ABCDDCBA,2414
148,ABCDDCBA,25303
147,ABCDDCBA,36514
143,ABCDDCBA,39873
60,ABCDDCBA,42513
62,ABCDDCBA,63320
306,ABCDDCBA,84325
65,ABCDDCBA,100857
309,ABCDDCBA,100898
144,ABCDDCBA,107524
307,ABCDDCBA,108316
145,ABCDDCBA,126545
380,ABCDDCBA,141958
301,ABCDDCBA,147665
382,ABCDDCBA,167465
149,ABCDDCBA,175279
221,ABCDDCBA,197405
64,ABCDDCBA,199541
388,ABCDDCBA,243264
222,ABCDDCBA,270767
224,ABCDDCBA,277171
385,ABCDDCBA,284465
61,ABCDDCBA,285140
305,ABCDDCBA,285650
140,ABCDDCBA,301327
226,ABCDDCBA,306866
384,ABCDDCBA,307880
302,ABCDDCBA,336206
142,ABCDDCBA,347080
387,ABCDDCBA,350826
146,ABCDDCBA,374416
383,ABCDDCBA,386142
300,ABCDDCBA,394827
303,ABCDDCBA,402380
223,ABCDDCBA,405901
63,ABCDDCBA,422173
381,ABCDDCBA,422889
141,ABCDDCBA,430292
69,ABCDDCBA,435568
304,ABCDDCBA,454048
229,ABCDDCBA,460464
220,ABCDDCBA,502012
386,ABCDDCBA,505780
227,ABCDDCBA,508011
67,ABCDDCBA,518198
66,ABCDDCBA,536380
228,ABCDDCBA,546490
308,ABCDDCBA,588100
225,ABCDDCBA,608596
389,ABCDDCBA,637641
395,ABCDEEDC,2509
312,ABCDEEDC,14439
310,ABCDEEDC,31415
79,ABCDEEDC,40398
399,ABCDEEDC,67764
230,ABCDEEDC,100058
318,ABCDEEDC,107357
396,ABCDEEDC,112347
154,ABCDEEDC,126898
238,ABCDEEDC,127940
76,ABCDEEDC,137811
314,ABCDEEDC,164731
73,ABCDEEDC,192103
156,ABCDEEDC,288453
150,ABCDEEDC,288801
391,ABCDEEDC,289006
394,ABCDEEDC,291859
233,ABCDEEDC,308965
72,ABCDEEDC,312242
397,ABCDEEDC,317922
237,ABCDEEDC,322422
316,ABCDEEDC,359048
239,ABCDEEDC,360512
393,ABCDEEDC,365226
75,ABCDEEDC,372745
159,ABCDEEDC,384053
155,ABCDEEDC,399424
311,ABCDEEDC,406391
232,ABCDEEDC,409131
231,ABCDEEDC,409473
153,ABCDEEDC,411714
390,ABCDEEDC,416425
74,ABCDEEDC,421158
78,ABCDEEDC,431392
158,ABCDEEDC,452491
319,ABCDEEDC,458559
235,ABCDEEDC,461786
152,ABCDEEDC,469387
398,ABCDEEDC,486084
317,ABCDEEDC,505015
151,ABCDEEDC,511788
315,ABCDEEDC,525320
77,ABCDEEDC,539521
71,ABCDEEDC,545536
157,ABCDEEDC,593061
313,ABCDEEDC,615433
70,ABCDEEDC,634930
392,ABCDEEDC,638884
234,ABCDEEDC,654925
236,ABCDEEDC,656687
